vpm;platoon;delay;throughput
10;off;7.884736842105263;10
20;off;7.832105263157895;19.5
30;off;7.847142857142857;30
40;off;7.963333333333333;39.5
50;off;8.613655913978494;50
60;off;8.662566371681416;59.5
70;off;9.012900763358779;70
80;off;9.567181208053691;80.5
90;off;11.544878048780488;87.5
100;off;13.922203389830509;97
110;off;16.22936170212766;102.5
120;off;16.387660818713453;95
130;off;24.99;107
140;off;27.91746113989637;111
150;off;38.36313432835821;84
160;off;31.982857142857142;87.5
170;off;38.625359116022096;113
180;off;42.94209580838323;105.5
190;off;44.27070175438596;107.5
200;off;52.263333333333335;103
