vrp;policy;delay;throughput
10;trafficLights;17.19;9
20;trafficLights;16.462222222222223;21
30;trafficLights;19.67;30.5
40;trafficLights;22.656666666666666;38
50;trafficLights;25.89909090909091;47.5
60;trafficLights;37.93805194805195;49.5
70;trafficLights;39.72493975903615;53
80;trafficLights;43.163333333333334;50.5
90;trafficLights;49.64;53
100;trafficLights;49.9177108433735;59
110;trafficLights;57.88473684210526;57.5
120;trafficLights;63.97684210526316;60
130;trafficLights;61.615;63.5
140;trafficLights;71.3974074074074;52.5
150;trafficLights;77.36704918032787;57
160;trafficLights;75.8746153846154;57
170;trafficLights;88.37095238095239;54.5
180;trafficLights;90.64909090909092;56.5
190;trafficLights;86.62043478260868;58.5
200;trafficLights;92.96368421052632;58.5
10;fcfs;6.779473684210527;10
20;fcfs;6.911052631578947;20
30;fcfs;6.849649122807017;30
40;fcfs;7.108421052631579;40.5
50;fcfs;7.394255319148936;49.5
60;fcfs;7.454285714285715;59
70;fcfs;7.697692307692308;68.5
80;fcfs;8.493311258278146;79
90;fcfs;9.317380952380953;89
100;fcfs;8.867005347593583;99
110;fcfs;11.223502538071067;104.5
120;fcfs;14.295418719211822;109.5
130;fcfs;17.33615384615385;113.5
140;fcfs;21.54813953488372;120
150;fcfs;25.413809523809523;120
160;fcfs;27.633835616438354;126
170;fcfs;31.24961538461538;121
180;fcfs;36.10004784688995;124
190;fcfs;40.01030456852792;123.5
200;fcfs;44.66525773195877;121
